date,Mkt_RF,SMB,HML
19870930,-0.0259,0.0054,0.0028
19871030,-0.2324,-0.0841,0.0421
19871130,-0.0777,0.027,0.0315
19871231,0.0681,0.0016,-0.0444
19880129,0.0421,-0.007,0.0518
19880229,0.0475,0.0335,-0.0165
19880331,-0.0227,0.0614,0.0075
19880429,0.0056,0.0096,0.0169
19880531,-0.0029,-0.0265,0.0228
19880630,0.0479,0.021,-0.0112
19880729,-0.0125,-0.0019,0.0226
19880831,-0.0331,0.0009,0.0208
19880930,0.033,-0.0127,-0.0067
19881031,0.0115,-0.029,0.0167
19881130,-0.0229,-0.0172,0.0127
19881230,0.0149,0.0194,-0.0154
19890131,0.061,-0.0213,0.0054
19890228,-0.0225,0.0277,0.0086
19890331,0.0157,0.0073,0.0048
19890428,0.0433,-0.006,-0.0145
19890531,0.0335,-0.0004,-0.0084
19890630,-0.0135,-0.0101,0.0217
19890731,0.072,-0.0402,-0.0281
19890831,0.0144,0.0053,0.0065
19890929,-0.0076,0.003,-0.0134
19891031,-0.0367,-0.0326,-0.0109
19891130,0.0103,-0.0122,-0.0108
19891229,0.0116,-0.0238,0.0024
19900131,-0.0785,-0.013,0.0089
19900228,0.0111,0.0105,0.0063
19900330,0.0183,0.0148,-0.0286
19900430,-0.0336,-0.005,-0.0258
19900531,0.0842,-0.0256,-0.0374
19900629,-0.0109,0.0145,-0.0201
19900731,-0.019,-0.032,-0.0001
19900831,-0.1014,-0.0359,0.016
19900928,-0.0612,-0.0367,0.0074
19901031,-0.0192,-0.0554,0.0025
19901130,0.0635,0.0033,-0.0307
19901231,0.0246,0.0082,-0.0155
19910131,0.0469,0.038,-0.0184
19910228,0.0719,0.0391,-0.006
19910328,0.0265,0.039,-0.012
19910430,-0.0028,0.0051,0.014
19910531,0.0364,-0.0034,-0.0055
19910628,-0.0494,0.0006,0.0119
19910731,0.0424,-0.0094,-0.013
19910830,0.0232,0.016,-0.0081
19910930,-0.0159,0.0163,-0.01
19911031,0.0128,0.0088,-0.0048
19911129,-0.0419,-0.0048,-0.0192
19911231,0.1083,-0.0225,-0.0404
19920131,-0.0059,0.0846,0.0452
19920228,0.0109,0.0088,0.0638
19920331,-0.0265,-0.0102,0.0367
19920430,0.0108,-0.061,0.0432
19920529,0.003,0.0039,0.0125
19920630,-0.0234,-0.031,0.0339
19920731,0.0377,-0.0043,-0.0053
19920831,-0.0238,-0.0012,-0.0105
19920930,0.0119,0.0054,-0.0024
19921030,0.0102,0.0205,-0.0209
19921130,0.0413,0.037,-0.0147
19921231,0.0153,0.0165,0.0252
19930129,0.0093,0.0205,0.0589
19930226,0.0013,-0.0343,0.0645
19930331,0.023,0.0025,0.0127
19930430,-0.0305,-0.0068,0.0264
19930528,0.0288,0.0196,-0.0342
19930630,0.0031,-0.003,0.0262
19930730,-0.0034,0.0095,0.0326
19930831,0.0372,0.0032,-0.0044
19930930,-0.0012,0.0312,-0.0048
19931029,0.0141,0.0144,-0.0156
19931130,-0.0189,-0.0143,-0.0026
19931231,0.0165,0.0122,0.0058
19940131,0.0287,0.0013,0.0209
19940228,-0.0256,0.0272,-0.0141
19940331,-0.0478,-0.0097,0.0133
19940429,0.0068,-0.0092,0.0168
19940531,0.0058,-0.0202,0.0017
19940630,-0.0303,-0.0048,0.0168
19940729,0.0282,-0.0177,0.0097
19940831,0.0401,0.0144,-0.0345
19940930,-0.0231,0.0267,-0.0181
19941031,0.0134,-0.022,-0.0236
19941130,-0.0404,-0.0017,-0.0005
19941230,0.0086,0.0005,0.0027
19950131,0.018,-0.0295,0.0164
19950228,0.0363,-0.0033,0.0038
19950331,0.0218,-0.0038,-0.0205
19950428,0.0211,-0.0042,0.017
19950531,0.029,-0.0225,0.0192
19950630,0.0272,0.0306,-0.0299
19950731,0.0372,0.0223,-0.0224
19950831,0.0055,0.0183,0.0193
19950929,0.0335,-0.0207,-0.0095
19951031,-0.0152,-0.0395,-0.0009
19951130,0.0395,-0.0083,0.0034
19951229,0.0103,0.0037,0.0141
19960131,0.0226,-0.0248,0.004
19960229,0.0133,0.0206,-0.0233
19960329,0.0073,0.0131,0.0127
19960430,0.0206,0.0486,-0.0402
19960531,0.0236,0.0316,-0.014
19960628,-0.0114,-0.0364,0.0192
19960731,-0.0597,-0.0358,0.0437
19960830,0.0276,0.0229,-0.006
19960930,0.0502,-0.008,-0.0377
19961031,0.0086,-0.0411,0.048
19961129,0.0625,-0.0359,0.0016
19961231,-0.017,0.0308,0.0101
19970131,0.0499,-0.0152,-0.0233
19970228,-0.0049,-0.0261,0.0468
19970331,-0.0503,-0.0033,0.0386
19970430,0.0404,-0.052,-0.0103
19970530,0.0674,0.0483,-0.0437
19970630,0.041,0.0148,0.0075
19970731,0.0733,-0.0251,-0.0013
19970829,-0.0415,0.0734,0.0136
19970930,0.0535,0.0268,-0.0023
19971031,-0.038,-0.0079,0.0218
19971128,0.0298,-0.0506,0.0098
19971231,0.0132,-0.0241,0.038
19980130,0.0015,-0.0092,-0.0203
19980227,0.0703,0.0033,-0.0088
19980331,0.0476,-0.01,0.0125
19980430,0.0073,0.0048,0.0032
